[INFO] [2024-04-24 17:27:11,197] Epoch<3/3>|Step<7/13> avg loss:0.249750
[INFO] [2024-04-24 17:27:13,411] Epoch<3/3>|Step<8/13> avg loss:0.247786
[INFO] [2024-04-24 17:27:15,630] Epoch<3/3>|Step<9/13> avg loss:0.241946
[INFO] [2024-04-24 17:27:17,809] Epoch<3/3>|Step<10/13> avg loss:0.240364
[INFO] [2024-04-24 17:27:19,948] Epoch<3/3>|Step<11/13> avg loss:0.244317
[INFO] [2024-04-24 17:27:22,098] Epoch<3/3>|Step<12/13> avg loss:0.242102
[INFO] [2024-04-24 17:27:23,195] Epoch<3/3>|Step<13/13> avg loss:0.242111
[INFO] [2024-04-24 17:29:57,118] Epoch<3/3> current loss:0.240989, best loss:0.240989, current PSNR:13.509748(max:21.413213|min:7.002875), best PSNR:13.513797
[INFO] [2024-04-24 17:30:22,887] Epoch<1/3> current lr:0.001000
[INFO] [2024-04-24 17:30:38,200] Epoch<1/3>|Step<1/13> avg loss:1.038248
[INFO] [2024-04-24 17:30:41,409] Epoch<1/3>|Step<2/13> avg loss:1.046631
[INFO] [2024-04-24 17:30:44,524] Epoch<1/3>|Step<3/13> avg loss:1.298470
[INFO] [2024-04-24 17:30:47,675] Epoch<1/3>|Step<4/13> avg loss:1.240559
[INFO] [2024-04-24 17:30:50,851] Epoch<1/3>|Step<5/13> avg loss:1.206077
[INFO] [2024-04-24 17:30:53,946] Epoch<1/3>|Step<6/13> avg loss:1.177302
[INFO] [2024-04-24 17:30:57,108] Epoch<1/3>|Step<7/13> avg loss:1.155708
[INFO] [2024-04-24 17:31:00,264] Epoch<1/3>|Step<8/13> avg loss:1.140524
[INFO] [2024-04-24 17:31:03,456] Epoch<1/3>|Step<9/13> avg loss:1.130005
[INFO] [2024-04-24 17:31:06,493] Epoch<1/3>|Step<10/13> avg loss:1.121285
[INFO] [2024-04-24 17:31:09,646] Epoch<1/3>|Step<11/13> avg loss:1.112196
[INFO] [2024-04-24 17:31:12,962] Epoch<1/3>|Step<12/13> avg loss:1.097360
[INFO] [2024-04-24 17:31:14,543] Epoch<1/3>|Step<13/13> avg loss:1.085571
[INFO] [2024-04-24 17:31:51,772] Epoch<1/3> current lr:0.001000
[INFO] [2024-04-24 17:32:07,051] Epoch<1/3>|Step<1/13> avg loss:1.061835
[INFO] [2024-04-24 17:32:10,267] Epoch<1/3>|Step<2/13> avg loss:1.071453
[INFO] [2024-04-24 17:32:13,476] Epoch<1/3>|Step<3/13> avg loss:1.295839
[INFO] [2024-04-24 17:32:16,643] Epoch<1/3>|Step<4/13> avg loss:1.230155
[INFO] [2024-04-24 17:32:19,917] Epoch<1/3>|Step<5/13> avg loss:1.211894
[INFO] [2024-04-24 17:32:22,996] Epoch<1/3>|Step<6/13> avg loss:1.179906
[INFO] [2024-04-24 17:32:26,150] Epoch<1/3>|Step<7/13> avg loss:1.159604
[INFO] [2024-04-24 17:32:29,253] Epoch<1/3>|Step<8/13> avg loss:1.152373
[INFO] [2024-04-24 17:32:32,384] Epoch<1/3>|Step<9/13> avg loss:1.148258
[INFO] [2024-04-24 17:32:35,573] Epoch<1/3>|Step<10/13> avg loss:1.128095
[INFO] [2024-04-24 17:32:38,659] Epoch<1/3>|Step<11/13> avg loss:1.125901
[INFO] [2024-04-24 17:32:41,672] Epoch<1/3>|Step<12/13> avg loss:1.116484
[INFO] [2024-04-24 17:32:43,337] Epoch<1/3>|Step<13/13> avg loss:1.111260
[INFO] [2024-04-24 17:36:29,779] Epoch<1/3> current loss:1.052240, best loss:1.052240, current PSNR:13.158839(max:24.207696|min:6.898773), best PSNR:13.158839
[INFO] [2024-04-24 17:36:29,779] Epoch<2/3> current lr:0.001000
[INFO] [2024-04-24 17:36:45,478] Epoch<2/3>|Step<1/13> avg loss:1.013142
[INFO] [2024-04-24 17:36:48,562] Epoch<2/3>|Step<2/13> avg loss:1.053972
[INFO] [2024-04-24 17:36:51,696] Epoch<2/3>|Step<3/13> avg loss:1.051774
[INFO] [2024-04-24 17:36:54,745] Epoch<2/3>|Step<4/13> avg loss:1.051084
[INFO] [2024-04-24 17:36:57,791] Epoch<2/3>|Step<5/13> avg loss:1.041522
[INFO] [2024-04-24 17:37:00,835] Epoch<2/3>|Step<6/13> avg loss:1.043664
[INFO] [2024-04-24 17:37:03,909] Epoch<2/3>|Step<7/13> avg loss:1.038911
[INFO] [2024-04-24 17:37:07,106] Epoch<2/3>|Step<8/13> avg loss:1.043188
[INFO] [2024-04-24 17:37:10,122] Epoch<2/3>|Step<9/13> avg loss:1.046830
[INFO] [2024-04-24 17:37:13,243] Epoch<2/3>|Step<10/13> avg loss:1.045366
[INFO] [2024-04-24 17:37:16,329] Epoch<2/3>|Step<11/13> avg loss:1.044862
[INFO] [2024-04-24 17:37:19,429] Epoch<2/3>|Step<12/13> avg loss:1.045182
[INFO] [2024-04-24 17:37:20,961] Epoch<2/3>|Step<13/13> avg loss:1.047978
[INFO] [2024-04-24 17:40:59,490] Epoch<2/3> current loss:1.042922, best loss:1.042922, current PSNR:13.381307(max:22.416904|min:6.984905), best PSNR:13.381307
[INFO] [2024-04-24 17:40:59,490] Epoch<3/3> current lr:0.001000
[INFO] [2024-04-24 17:41:14,475] Epoch<3/3>|Step<1/13> avg loss:1.053756
[INFO] [2024-04-24 17:41:17,556] Epoch<3/3>|Step<2/13> avg loss:1.034601
[INFO] [2024-04-24 17:41:20,741] Epoch<3/3>|Step<3/13> avg loss:1.023083
[INFO] [2024-04-24 17:41:23,630] Epoch<3/3>|Step<4/13> avg loss:1.031523
[INFO] [2024-04-24 17:41:26,684] Epoch<3/3>|Step<5/13> avg loss:1.039795
[INFO] [2024-04-24 17:41:29,780] Epoch<3/3>|Step<6/13> avg loss:1.027473
